Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,0.066197,0.067502,0.066007,0.067357,0.067357,256457805
2022-08-05,0.067333,0.070117,0.067256,0.069765,0.069765,336216727
2022-08-06,0.069766,0.070999,0.068586,0.068674,0.068674,277979112
2022-08-07,0.068669,0.069899,0.067747,0.068940,0.068940,204862521
2022-08-08,0.068946,0.072058,0.068923,0.070055,0.070055,399183407
2022-08-09,0.070061,0.073886,0.068462,0.069125,0.069125,611327142
2022-08-10,0.069119,0.071309,0.067389,0.071195,0.071195,431172729
2022-08-11,0.071205,0.074646,0.070727,0.070930,0.070930,563908591
2022-08-12,0.070931,0.072480,0.070027,0.072345,0.072345,320410367
2022-08-13,0.072344,0.074860,0.071951,0.072840,0.072840,446287445
2022-08-14,0.072856,0.084013,0.072754,0.081687,0.081687,1530403447
2022-08-15,0.081698,0.081820,0.075151,0.076720,0.076720,855017472
2022-08-16,0.076695,0.088639,0.076394,0.086964,0.086964,1947377918
2022-08-17,0.086933,0.088113,0.079927,0.080154,0.080154,996272861
2022-08-18,0.080174,0.082087,0.074989,0.075079,0.075079,621394159
2022-08-19,0.075045,0.075183,0.067536,0.067939,0.067939,965543533
2022-08-20,0.067897,0.070961,0.067897,0.069540,0.069540,537299425
2022-08-21,0.069529,0.070646,0.067847,0.069448,0.069448,421455865
2022-08-22,0.069441,0.069489,0.065606,0.068391,0.068391,453413439
2022-08-23,0.068395,0.069169,0.067213,0.068770,0.068770,335476543
2022-08-24,0.068771,0.069415,0.067298,0.067990,0.067990,345474347
2022-08-25,0.067991,0.071579,0.067957,0.069094,0.069094,469798193
2022-08-26,0.069082,0.069296,0.063254,0.063572,0.063572,620512451
2022-08-27,0.063571,0.064065,0.062607,0.063587,0.063587,380887727
2022-08-28,0.063558,0.064268,0.061786,0.061786,0.061786,295086067
2022-08-29,0.061753,0.063982,0.061246,0.063887,0.063887,315005254
2022-08-30,0.063899,0.064408,0.060550,0.061525,0.061525,328934727
2022-08-31,0.061534,0.063333,0.061058,0.061330,0.061330,309748693
2022-09-01,0.061336,0.062479,0.060194,0.062372,0.062372,328765413
2022-09-02,0.062372,0.062712,0.060947,0.061635,0.061635,273453013
2022-09-03,0.061629,0.063601,0.061344,0.062694,0.062694,297123402
2022-09-04,0.062697,0.063714,0.062066,0.063226,0.063226,250044436
2022-09-05,0.063230,0.063640,0.061297,0.062738,0.062738,231918999
2022-09-06,0.062750,0.064642,0.058652,0.058983,0.058983,471485708
2022-09-07,0.058964,0.061450,0.057944,0.061104,0.061104,324781387
2022-09-08,0.061089,0.061293,0.059923,0.060977,0.060977,268099702
2022-09-09,0.060974,0.064622,0.060934,0.064018,0.064018,487988732
2022-09-10,0.064009,0.065241,0.063404,0.064776,0.064776,413101249
2022-09-11,0.064771,0.065187,0.063010,0.063714,0.063714,327741964
2022-09-12,0.063715,0.065194,0.062878,0.063905,0.063905,383630739
2022-09-13,0.063903,0.063981,0.059524,0.060129,0.060129,461644993
2022-09-14,0.059717,0.061425,0.059542,0.061173,0.061173,369554274
2022-09-15,0.061168,0.061211,0.058785,0.058791,0.058791,327176374
2022-09-16,0.058792,0.060423,0.058453,0.060423,0.060423,247011315
2022-09-17,0.060430,0.062315,0.060330,0.062210,0.062210,209604119
2022-09-18,0.062210,0.062210,0.057238,0.057520,0.057520,265405124
2022-09-19,0.057519,0.058744,0.056180,0.058612,0.058612,301268389
2022-09-20,0.058612,0.060262,0.057738,0.058417,0.058417,294929293
2022-09-21,0.058423,0.060478,0.056378,0.057404,0.057404,406017754
2022-09-22,0.057386,0.059838,0.056945,0.059599,0.059599,241738855
2022-09-23,0.059593,0.064032,0.059565,0.063336,0.063336,704823247
2022-09-24,0.063333,0.067973,0.063029,0.063234,0.063234,969527521
2022-09-25,0.063223,0.063679,0.060457,0.061152,0.061152,367453955
2022-09-26,0.061167,0.061797,0.060051,0.061089,0.061089,323710024
2022-09-27,0.061084,0.062931,0.059927,0.060609,0.060609,337427597
2022-09-28,0.060597,0.061039,0.058754,0.060623,0.060623,277399298
2022-09-29,0.060624,0.061036,0.059423,0.060728,0.060728,229157795
2022-09-30,0.060738,0.062040,0.059958,0.061653,0.061653,369084722
2022-10-01,0.061650,0.062806,0.060400,0.060627,0.060627,347895211
2022-10-02,0.060628,0.060908,0.059128,0.059288,0.059288,198168354
2022-10-03,0.059287,0.060467,0.059078,0.060384,0.060384,195766522
2022-10-04,0.060381,0.066252,0.060041,0.065962,0.065962,826424315
